benchmark_or_result_id	dependency_type	original_path	reason_required	loaded_by	direct_or_transitive	sha256	size_bytes	classification	planned_destination	bundled_or_external
01_safe_hybrid,05,06	python_producer	claude_qlr_diagnostics/rescue_full_run.py	Results 1 + 5 (same run)	01/05_RUN.sh	direct	a5321206c449523d828c3e6609713a4e015cc1809ff9546e936f9c664a77c2dd	13945	source_code	python/hybrid/rescue_full_run.py	bundled_path_adjusted
06	python_producer	claude_qlr_diagnostics/rescue_stage2_accuracy.py	Result 6	06_RUN.sh	direct	e3e0cf506a803289528169f7ffcfecedd1550c060e470f8e2309f63c82e40a79	20672	source_code	python/hybrid/rescue_stage2_accuracy.py	bundled_path_adjusted
02	python_producer	native_qlr_optimization/.../python/final_validate.py	Result 2	02_RUN.sh	direct	2b158d80ae0dd1933c04895ec7d85074a7aed9a26b3d8b323bbc3acd19db9796	8784	source_code	python/native/final_validate.py	bundled_path_adjusted
03	python_producer	native_qlr_optimization/.../python/benchmark_native.py	Result 3	03_RUN.sh	direct	3746e31a514443f9ba7aa3e16e9a24cb9951d600bffa2535989820b46e5176d6	7562	source_code	python/native/benchmark_native.py	bundled_path_adjusted
04	python_producer	native_qlr_optimization/.../python/canonical_final.py	Result 4	04_RUN.sh	direct	6ece4bfdab46aa0326fcee88389d7e13d1617d693686b91f64708007286c294a	5477	source_code	python/native/canonical_final.py	bundled_path_adjusted
04	python_helper	SUBMISSION_REPRO_PACKAGE/04_native_canonical_v3/aggregate_results.py	Result 4 post-processing	04_RUN.sh	direct	<byte-identical copy — see COPY_MANIFEST.tsv>	5170	source_code	benchmarks/04_native_canonical_v3/aggregate_results.py	bundled_verbatim
01,05,06	python_helper	msmarco_HNSW/src/data_loading.py	load_embeddings_from_parquets, l2_normalize	rescue_full_run.py, rescue_stage2_accuracy.py	direct	<see COPY_MANIFEST.tsv>	1857	source_code	python/hybrid/src/data_loading.py	bundled_verbatim
01,05,06	python_helper	msmarco_HNSW/src/indexing.py	load_index (faiss.read_index)	rescue_full_run.py, rescue_stage2_accuracy.py	direct	<see COPY_MANIFEST.tsv>	1483	source_code	python/hybrid/src/indexing.py	bundled_verbatim
01,05,06	python_helper	(generated)	explicit-package __init__ so import works without namespace-package quirks	src.data_loading / src.indexing	transitive	<see COPY_MANIFEST.tsv>	~200	generated	python/hybrid/src/__init__.py	generated
02,03,04	native_source	native_qlr_optimization/.../src/native_qlr.cpp	rebuilds native_qlr module	build/BUILD_NATIVE.sh	direct	f413e1bce62a4fc19549d3fa616b2ab797f6beee1fb210816bab98be8a42c5b6	26863	source_code	native/src/native_qlr.cpp	bundled_verbatim
02,04	native_source	native_qlr_optimization/.../src/native_qlr_v2.cpp	rebuilds native_qlr_v2 module	build/BUILD_NATIVE.sh	direct	d7c8fedc5eedbe8f94bf17fceadce2f6e9e66cc5a68b77bad37574a5e50865e0	30527	source_code	native/src/native_qlr_v2.cpp	bundled_verbatim
04	native_source	native_qlr_optimization/.../src/native_qlr_v3.cpp	rebuilds native_qlr_v3 module	build/BUILD_NATIVE.sh	direct	afc98a0efefd02cd8f9ea9f2c99fd29791f0c86f37bac98c165e6619a172caa5	33702	source_code	native/src/native_qlr_v3.cpp	bundled_verbatim
02,03,04	native_build	native_qlr_optimization/.../build/build.sh	reference build recipe for v1	build/BUILD_NATIVE.sh	direct	6a2d4d4826fd16c900d49a45db0d2ae5f99997a72cca3d76636d7d8ef6a3051d	1079	source_code	native/src/original_build.sh	bundled_verbatim
02,04	native_build	native_qlr_optimization/.../build/build_v2.sh	reference build recipe for v2	build/BUILD_NATIVE.sh	direct	96ca3974f9665714e6f8649c75dbb3e79043c0bd729d3de7f9b94118daea14a2	863	source_code	native/src/original_build_v2.sh	bundled_verbatim
04	native_build	native_qlr_optimization/.../build/build_v3.sh	reference build recipe for v3	build/BUILD_NATIVE.sh	direct	d235021b42add555f59297565a6948f27bfb44a3032a97565ec2b5c0515648c3	832	source_code	native/src/original_build_v3.sh	bundled_verbatim
02,03,04	native_prebuilt	native_qlr_optimization/.../build/native_qlr.cpython-310-x86_64-linux-gnu.so	optional fast path (cpython-310 x86-64)	python/native/*.py sys.path.insert	direct	0825c10d7bc370c2471a2470f5fea32a3349a1cf793457543ec7690429c38fa4	308112	binary_prebuilt	native/prebuilt/native_qlr.cpython-310-x86_64-linux-gnu.so	bundled_prebuilt
